Sample	Haplotype
p21.E9	2526_III
p13.B10	2526_III
p5.G1	2526_III
p3.E7	2526_III
p20.A3	2526_III
p13.E7	2526_III
p20.C9	2526_III
p7.A10	2526_III
p21.B9	2526_III
p3.B11	2526_III
p5.C1	2526_III
p20.G11	2526_III
p20.H11	2526_III
p26.C1	2526_III
p3.E8	2526_III
p12.E3	2526_III
p5.E7	2526_III
p7.B11	2526_III
p24.H11	2526_III
p12.E11	2526_III
p24.G12	2526_III
p24.E2	2526_III
p24.E3	2526_III
p6.F10	2526_III
p8.E1	2526_III
p5.E11	2526_III
p7.E3	2526_III
p26.B1	2526_III
p4.D3	2526_III
p12.E10	2526_III
p3.G5	2526_III
p4.F5	2526_III
p26.H1	2526_III
p9.A9	2526_III
p7.E5	2526_III
p9.F7	2526_III
p13.A11	2526_III
p5.A12	2526_III
p24.B9	2526_III
p5.E8	2526_III
p9.E3	2526_III
p24.E12	2526_III
p13.F11	2526_III
p1.B10	2526_III
p5.E4	2526_III
p9.B11	2526_III
p24.C11	2526_III
p21.D9	2526_III
p24.H3	2526_III
p6.D3	2526_III
p9.B9	2526_III
p9.F6	2526_III
p3.H5	2526_III
p24.F11	2526_III
p1.E8	2526_III
p6.A8	2526_III
p5.H1	2526_III
p20.H12	2526_III
p24.F12	2526_III
p24.G9	2526_III
p25.C9	2526_III
p9.F2	2526_III
p9.H2	2526_III
p20.C12	2526_III
p13.A10	2526_III
p22.A1	2526_III
p20.H10	2526_III
p3.G12	2526_III
p8.D1	2526_III
p20.H9	2526_III
p25.H8	2526_III
p7.F7	2526_III
p5.G5	2526_III
p12.E6	2526_III
p20.C10	2526_III
p1.F3	2526_III
p25.B1	2526_III
p26.G1	2526_III
p22.H1	2526_III
p6.H7	2526_III
p25.E5	2526_III
p24.D2	2526_III
p2.F4	2526_III
p24.E11	2526_III
p21.H7	2526_III
p11.A7	2526_III
p21.F7	2526_III
p11.F8	2526_III
p6.F5	2526_III
p12.C1	2526_III
p9.F10	2526_III
p20.E9	2526_III
p5.B11	2526_III
p2.F5	2526_III
p25.B7	2526_III
p24.F2	2526_III
p25.D8	2526_III
p21.B7	2526_III
p1.B11	2526_III
p26.A1	2526_III
p25.E7	2526_III
p7.E9	2526_III
p12.F11	2526_III
p20.B11	2526_III
p22.E1	2526_III
p21.G8	2526_III
p24.A3	2526_III
p24.C10	2526_III
p5.F7	2526_III
p9.E10	2526_III
p6.F12	2526_III
p8.H8	2526_III
p3.A12	2526_III
p6.F3	2526_III
p21.F8	2526_III
p13.F2	2526_III
p26.E1	2526_III
p5.E3	2526_III
p9.E7	2526_III
p20.D12	2526_III
p24.E9	2526_III
p21.E7	2526_III
p21.A9	2526_III
p2.F11	2526_III
p25.C7	2526_III
p12.F2	2526_III
p7.C12	2526_III
p21.B8	2526_III
p3.F7	2526_III
p20.D11	2526_III
p21.E8	2526_III
p21.G9	2526_III
p7.E6	2526_III
p12.B11	2526_III
p24.F9	2526_III
p22.D3	2526_III
p1.E4	2526_III
p11.F3	2526_III
p4.F4	2526_III
p6.F11	2526_III
p13.F7	2526_III
p25.G8	2526_III
p12.F3	2526_III
p21.A8	2526_III
p25.C5	2526_III
p20.F10	2526_III
p6.E3	2526_III
p24.B12	2526_III
p24.A11	2526_III
p13.E3	2526_III
p3.F10	2526_III
p13.E11	2526_III
p12.F10	2526_III
p21.D8	2526_III
p7.H5	2526_III
p21.H9	2526_III
p1.H1	2526_III
p6.F4	2526_III
p20.F12	2526_III
p24.G3	2526_III
p25.F7	2526_III
p13.H6	2526_III
p7.F6	2526_III
p9.F11	2526_III
p2.H5	2526_III
p21.D7	2526_III
p7.F3	2526_III
p8.F10	2526_III
p13.F10	2526_III
p21.F5	2526_III
p1.G1	2526_III
p9.E2	2526_III
