Sample	Haplotype
p20.B4	2280_IV
p20.H4	2280_IV
p8.C6	2280_IV
p12.H3	2280_IV
p6.B7	2280_IV
p26.E6	2280_IV
p4.D10	2280_IV
p24.C4	2280_IV
p7.G8	2280_IV
p27.C6	2280_IV
p2.A10	2280_IV
p8.D9	2280_IV
p1.C12	2280_IV
p1.H2	2280_IV
p13.G7	2280_IV
p25.C8	2280_IV
p21.G4	2280_IV
p24.G4	2280_IV
p5.G3	2280_IV
p6.H10	2280_IV
p9.H3	2280_IV
p26.H9	2280_IV
p4.A10	2280_IV
p21.C4	2280_IV
p4.B7	2280_IV
p13.G2	2280_IV
p24.B4	2280_IV
p4.E1	2280_IV
p11.E9	2280_IV
p21.F4	2280_IV
p25.B4	2280_IV
p7.G1	2280_IV
p8.E10	2280_IV
p23.A1	2280_IV
p21.C5	2280_IV
p9.H1	2280_IV
p27.G5	2280_IV
p25.G4	2280_IV
p7.E1	2280_IV
p20.F4	2280_IV
p6.A9	2280_IV
p4.E9	2280_IV
p13.H7	2280_IV
p1.G8	2280_IV
p7.E12	2280_IV
p9.G8	2280_IV
p6.E10	2280_IV
p13.G8	2280_IV
p9.B12	2280_IV
p6.D9	2280_IV
p12.E1	2280_IV
p24.F4	2280_IV
p21.H4	2280_IV
p7.H2	2280_IV
p1.G3	2280_IV
p23.D1	2280_IV
p25.D4	2280_IV
p25.H5	2280_IV
p9.F1	2280_IV
p8.A9	2280_IV
p5.E2	2280_IV
p6.A10	2280_IV
p12.G8	2280_IV
p7.H8	2280_IV
p20.G4	2280_IV
p6.C7	2280_IV
p5.H9	2280_IV
p21.E4	2280_IV
p9.H7	2280_IV
p25.G7	2280_IV
p3.H8	2280_IV
p21.E5	2280_IV
p4.A9	2280_IV
p9.G1	2280_IV
p8.F8	2280_IV
p1.H7	2280_IV
p24.A4	2280_IV
p21.B5	2280_IV
p20.E4	2280_IV
p20.C4	2280_IV
p21.B4	2280_IV
p8.E9	2280_IV
p25.E4	2280_IV
p13.F6	2280_IV
p1.G9	2280_IV
p3.E2	2280_IV
p11.E1	2280_IV
p7.F1	2280_IV
p21.A4	2280_IV
p25.A5	2280_IV
p25.C4	2280_IV
p5.F1	2280_IV
p24.E4	2280_IV
p4.C7	2280_IV
p12.G2	2280_IV
p27.G6	2280_IV
p23.B1	2280_IV
p26.H7	2280_IV
p26.B10	2280_IV
p7.H1	2280_IV
p23.C1	2280_IV
p24.D4	2280_IV
p6.E4	2280_IV
p21.D4	2280_IV
p2.F8	2280_IV
p25.F4	2280_IV
p11.A8	2280_IV
p24.H4	2280_IV
p9.H6	2280_IV
p11.E10	2280_IV
p3.G2	2280_IV
p2.D9	2280_IV
p25.A4	2280_IV
p1.D12	2280_IV
p26.G8	2280_IV
p6.B6	2280_IV
p12.G3	2280_IV
p6.C6	2280_IV
p20.D4	2280_IV
p5.G2	2280_IV
p2.C7	2280_IV
p5.H8	2280_IV
p11.B6	2280_IV
p2.B7	2280_IV
p25.H4	2280_IV
p12.H1	2280_IV
p20.A4	2280_IV
p8.B5	2280_IV
p26.E4	2280_II
p11.E7	2280_II
p8.D8	2280_II
p2.E6	2280_II
p21.D3	2280_II
p6.E8	2280_II
p4.D9	2280_II
p3.C2	2280_II
p6.E6	2280_II
p7.D10	2280_II
p24.A1	2280_II
p11.E6	2280_II
p7.G6	2280_II
p25.C3	2280_II
p2.E8	2280_II
p12.H6	2280_II
p22.G4	2280_II
p11.D8	2280_II
p12.D1	2280_II
p22.A5	2280_II
p7.D2	2280_II
p7.D3	2280_II
p4.E5	2280_II
p5.H6	2280_II
p26.B5	2280_II
p12.H5	2280_II
p22.H5	2280_II
p13.D2	2280_II
p22.B5	2280_II
p13.D1	2280_II
p9.H5	2280_II
p2.D6	2280_II
p13.C1	2280_II
p2.E9	2280_II
p2.D8	2280_II
p8.E8	2280_II
p1.C3	2280_II
p25.H3	2280_II
p3.C9	2280_II
p25.B3	2280_II
p12.C8	2280_II
p8.D5	2280_II
p2.E7	2280_II
p21.E3	2280_II
p26.G4	2280_II
p22.C5	2280_II
p7.C1	2280_II
p5.D3	2280_II
p22.H4	2280_II
p4.E6	2280_II
p26.F4	2280_II
p12.C9	2280_II
p6.E7	2280_II
p22.E5	2280_II
p6.D8	2280_II
p21.F3	2280_II
p25.A3	2280_II
p21.H3	2280_II
p4.D8	2280_II
p13.H10	2280_II
p26.H5	2280_II
p3.D9	2280_II
p26.C5	2280_II
p26.B6	2280_II
p8.A5	2280_II
p8.E7	2280_II
p4.D6	2280_II
p4.E8	2280_II
p11.B11	2280_II
p25.F3	2280_II
p3.D2	2280_II
p11.D9	2280_II
p1.D2	2280_II
p12.C2	2280_II
p26.E5	2280_II
p5.C3	2280_II
p9.G6	2280_II
p25.E3	2280_II
p21.B3	2280_II
p1.D3	2280_II
p21.C3	2280_II
p22.E4	2280_II
p11.D6	2280_II
p25.E2	2280_II
p2.D7	2280_II
p26.D4	2280_II
p22.B7	2280_II
p5.G7	2280_II
p7.C2	2280_II
p13.C2	2280_II
p1.C2	2280_II
p22.A8	2280_II
p26.A7	2280_II
p26.F5	2280_II
p3.C3	2280_II
p22.A7	2280_II
p9.C2	2280_II
p26.H4	2280_II
p22.F5	2280_II
p11.E8	2280_II
p8.D6	2280_II
p5.D2	2280_II
p22.G5	2280_II
p25.D3	2280_II
p21.G3	2280_II
p26.D5	2280_II
p6.D6	2280_II
p6.D7	2280_II
p22.C7	2280_II
p26.A8	2280_II
p11.C11	2280_II
p8.E6	2280_II
p21.A3	2280_II
p7.B4	2280_II
p9.D2	2280_II
p1.F5	2280_II
p26.C4	2280_II
p26.G5	2280_II
p25.G3	2280_II
p22.F4	2280_II
p9.B5	2280_III
p12.A5	2280_III
p12.C7	2280_III
p12.C6	2280_III
p9.A5	2280_III
p11.A3	2280_III
p1.C6	2280_III
p12.D6	2280_III
p9.C7	2280_III
p7.E8	2280_III
p7.D7	2280_III
p5.B5	2280_III
p3.A5	2280_III
p8.B8	2280_III
p21.C1	2280_III
p1.D9	2280_III
p7.B5	2280_III
p6.D2	2280_III
p5.C5	2280_III
p1.B5	2280_III
p5.F11	2280_III
p3.D6	2280_III
p9.D6	2280_III
p7.C5	2280_III
p7.A5	2280_III
p25.F1	2280_III
p13.C6	2280_III
p11.C10	2280_III
p13.C5	2280_III
p1.A5	2280_III
p11.B9	2280_III
p11.A2	2280_III
p9.C5	2280_III
p3.B5	2280_III
p12.C5	2280_III
p12.B5	2280_III
p13.C7	2280_III
p9.E5	2280_III
p4.C11	2280_III
p6.C11	2280_III
p25.A1	2280_III
p13.D8	2280_III
p7.D6	2280_III
p25.C1	2280_III
p1.F10	2280_III
p8.B9	2280_III
p7.C4	2280_III
p9.D5	2280_III
p1.B6	2280_III
p1.C9	2280_III
p9.C6	2280_III
p13.H12	2280_III
p12.D5	2280_III
p1.C7	2280_III
p13.D7	2280_III
p3.C6	2280_III
p5.C6	2280_III
p7.C6	2280_III
p5.E10	2280_III
p5.D6	2280_III
p5.D5	2280_III
p21.F1	2280_III
p24.E7	2280_III
p5.D7	2280_III
p20.E7	2280_III
p6.B11	2280_III
p7.D5	2280_III
p1.D7	2280_III
p13.D6	2280_III
p5.C7	2280_III
