Sample	Length
Seq243_p8.A1_2	237
Seq431_p13.E10	237
Seq228_p12.E7	276
Seq190_p1.A10	399
Seq75_p6.E3	612
Seq66_p13.H2_1	951
Seq271_p2.C5	1143
Seq482_p9.H2	1254
Seq111_p3.F1	1380
Seq113_p9.C3	1380
Seq114_p24.E8	1380
Seq119_p12.E4	1380
Seq127_p23.E2	1380
Seq14_p12.H2	1380
Seq157_p1.E5	1380
Seq159_p27.B1	1380
Seq15_p7.E7	1380
Seq160_p21.C12	1380
Seq161_p11.A10	1380
Seq167_p12.H10	1380
Seq168_p25.B12	1380
Seq169_p23.D6	1380
Seq16_p20.D8	1380
Seq171_p24.G8	1380
Seq175_p9.F4	1380
Seq187_p26.A10	1380
Seq188_p8.A2	1380
Seq195_p5.C2	1380
Seq19_p8.A11	1380
Seq204_p9.D3	1380
Seq20_p23.C8	1380
Seq212_p21.E12	1380
Seq217_p24.F8	1380
Seq226_p5.E1	1380
Seq233_p3.C1	1380
Seq234_p22.B8	1380
Seq245_p21.A12	1380
Seq247_p23.F9	1380
Seq264_p25.A12	1380
Seq269_p23.C3	1380
Seq26_p6.H11	1380
Seq295_p13.F12	1380
Seq296_p23.H6	1380
Seq29_p23.F2	1380
Seq317_p23.F6	1380
Seq319_p5.G8	1380
Seq331_p13.E4	1380
Seq336_p5.G9	1380
Seq338_p1.E7	1380
Seq33_p13.F4	1380
Seq340_p24.B8	1380
Seq350_p26.G9	1380
Seq353_p25.C12	1380
Seq357_p24.B5	1380
Seq363_p26.G7	1380
Seq364_p13.C11	1380
Seq368_p11.C12	1380
Seq37_p4.B1	1380
Seq386_p4.D2	1380
Seq391_p20.G8	1380
Seq392_p12.H8	1380
Seq396_p6.A11	1380
Seq400_p1.H3	1380
Seq407_p1.G2	1380
Seq412_p12.G7	1380
Seq417_p4.A11	1380
Seq423_p2.C1	1380
Seq425_p22.F7	1380
Seq427_p8.A10	1380
Seq456_p27.H5	1380
Seq45_p2.A11	1380
Seq462_p27.G3	1380
Seq492_p7.D1	1380
Seq494_p20.F8	1380
Seq496_p11.G11	1380
Seq505_p25.G12	1380
Seq506_p25.D12	1380
Seq519_p23.E7	1380
Seq522_p3.E5	1380
Seq532_p26.F8	1380
Seq540_p13.G1	1380
Seq544_p9.E1	1380
Seq545_p21.H12	1380
Seq558_p7.H3	1380
Seq56_p3.G8	1380
Seq576_p27.B3	1380
Seq580_p6.D1	1380
Seq584_p23.A2	1380
Seq586_p13.D10	1380
Seq589_p7.E4	1380
Seq593_p23.D3	1380
Seq5_p20.E8	1380
Seq602_p11.A12	1380
Seq604_p24.A8	1380
Seq613_p9.E6	1380
Seq622_p23.B3	1380
Seq624_p3.H9	1380
Seq637_p7.G3	1380
Seq641_p22.G7	1380
Seq643_p9.G3	1380
Seq655_p25.F12	1380
Seq661_p27.H4	1380
Seq675_p8.C1	1380
Seq67_p23.G2	1380
Seq688_p3.F2	1380
Seq691_p3.F5	1380
Seq693_p1.E1	1380
Seq706_p21.F12	1380
Seq711_p11.C4	1380
Seq713_p20.A8	1380
Seq714_p7.F4	1380
Seq715_p22.C8	1380
Seq729_p23.G6	1380
Seq72_p23.C7	1380
Seq730_p11.B12	1380
Seq734_p20.H8	1380
Seq735_p26.G10	1380
Seq737_p23.H2	1380
Seq73_p24.C8	1380
Seq740_p8.G6	1380
Seq744_p9.G2	1380
Seq747_p3.G9	1380
Seq748_p22.C1	1380
Seq749_p9.E4	1380
Seq74_p7.D12	1380
Seq750_p23.D2	1380
Seq755_p22.E7	1380
Seq766_p3.G3	1380
Seq771_p9.C12	1380
Seq781_p24.D8	1380
Seq789_p12.F1	1380
Seq801_p27.B2	1380
Seq805_p25.H12	1380
Seq813_p11.A9	1380
Seq818_p7.G2	1380
Seq828_p25.E12	1380
Seq83_p5.H2	1380
Seq848_p6.C1	1380
Seq852_p6.A7	1380
Seq857_p6.H1	1380
Seq858_p21.B12	1380
Seq860_p23.B7	1380
Seq863_p23.A8	1380
Seq865_p26.A9	1380
Seq871_p27.F2	1380
Seq875_p3.H2	1380
Seq877_p6.B1	1380
Seq87_p24.H8	1380
Seq884_p21.G12	1380
Seq893_p20.B8	1380
Seq894_p8.E4	1380
Seq899_p2.D1	1380
Seq900_p2.B1	1380
Seq919_p9.G12	1380
Seq943_p8.C4	1380
Seq97_p2.D3	1380
Seq571_p20.C1	1398
Seq721_p26.C10	1530
Seq777_p23.A4	1530
Seq100_p1.B8	1800
Seq101_p26.C7	1800
Seq102_p1.A8	1800
Seq103_p26.E9	1800
Seq104_p11.H8	1800
