Segment	Start	End
tailocin	1	18057
TFA_p23.B8	18058	18570
TFA_p26.D6	18571	19083
TFA_p21.F9	19084	19581
TFA_p25.C2	19582	20094
TFA_p5.D5	20095	20607
TFA_p25.A12	20608	21153
TFA_p7.G11	21154	21699
HTF_p23.B8	21700	23502
HTF_p26.D6	23503	25305
HTF_p21.F9	25306	26550
HTF_p25.C2	26551	28353
HTF_p5.D5	28354	30156
HTF_p25.A12	30157	31539
HTF_p7.G11	31540	33369
