Sample	Length
Seq359_p13.E10	237
Seq694_p8.A1	237
Seq154_p1.A10	399
Seq64_p6.E3	612
Seq93_p13.H2	951
Seq403_p9.H2	1254
Seq103_p23.E2	1380
Seq106_p20.H8	1380
Seq119_p6.B1	1380
Seq128_p8.C4	1380
Seq129_p1.E5	1380
Seq131_p21.C12	1380
Seq134_p12.H10	1380
Seq135_p25.B12	1380
Seq136_p23.D6	1380
Seq138_p24.G8	1380
Seq13_p12.H2	1380
Seq141_p9.F4	1380
Seq142_p2.D3	1380
Seq143_p3.G9	1380
Seq14_p7.E7	1380
Seq152_p26.A10	1380
Seq153_p8.A2	1380
Seq157_p5.C2	1380
Seq16_p12.E4	1380
Seq172_p21.E12	1380
Seq176_p24.F8	1380
Seq17_p8.A11	1380
Seq185_p5.E1	1380
Seq189_p3.C1	1380
Seq18_p23.C8	1380
Seq190_p22.B8	1380
Seq194_p11.A9	1380
Seq199_p23.F9	1380
Seq213_p25.A12	1380
Seq217_p23.B7	1380
Seq231_p9.E4	1380
Seq238_p13.F12	1380
Seq239_p23.H6	1380
Seq23_p6.H11	1380
Seq258_p23.F6	1380
Seq260_p5.G8	1380
Seq266_p3.G8	1380
Seq26_p23.F2	1380
Seq279_p5.G9	1380
Seq281_p1.E7	1380
Seq283_p24.B8	1380
Seq28_p13.F4	1380
Seq291_p26.G9	1380
Seq294_p25.C12	1380
Seq298_p24.B5	1380
Seq302_p26.G7	1380
Seq303_p13.C11	1380
Seq305_p27.B1	1380
Seq314_p11.C12	1380
Seq320_p4.D2	1380
Seq324_p20.G8	1380
Seq325_p1.G2	1380
Seq328_p6.A11	1380
Seq32_p4.B1	1380
Seq332_p1.H3	1380
Seq343_p12.G7	1380
Seq344_p23.C3	1380
Seq346_p4.A11	1380
Seq347_p6.C1	1380
Seq351_p2.C1	1380
Seq353_p22.F7	1380
Seq355_p8.A10	1380
Seq366_p21.F12	1380
Seq382_p27.H5	1380
Seq386_p27.G3	1380
Seq39_p2.A11	1380
Seq3_p20.D8	1380
Seq411_p7.D1	1380
Seq412_p9.E1	1380
Seq413_p20.F8	1380
Seq416_p11.G11	1380
Seq432_p23.E7	1380
Seq434_p3.E5	1380
Seq439_p11.A10	1380
Seq444_p26.F8	1380
Seq451_p3.F5	1380
Seq455_p21.H12	1380
Seq466_p7.H3	1380
Seq478_p3.H2	1380
Seq484_p27.B3	1380
Seq487_p6.D1	1380
Seq491_p23.A2	1380
Seq494_p13.D10	1380
Seq495_p7.E4	1380
Seq498_p23.D3	1380
Seq506_p11.A12	1380
Seq508_p24.A8	1380
Seq514_p21.G12	1380
Seq517_p24.E8	1380
Seq523_p23.B3	1380
Seq525_p3.H9	1380
Seq540_p22.G7	1380
Seq541_p9.G3	1380
Seq551_p25.F12	1380
Seq556_p27.H4	1380
Seq567_p8.C1	1380
Seq571_p12.H8	1380
Seq57_p23.G2	1380
Seq581_p3.F2	1380
Seq584_p13.G1	1380
Seq586_p1.E1	1380
Seq593_p23.H2	1380
Seq5_p20.E8	1380
Seq600_p11.C4	1380
Seq602_p20.A8	1380
Seq603_p7.F4	1380
Seq604_p22.C8	1380
Seq618_p23.G6	1380
Seq619_p11.B12	1380
Seq61_p23.C7	1380
Seq622_p25.G12	1380
Seq624_p26.G10	1380
Seq629_p8.G6	1380
Seq62_p24.C8	1380
Seq632_p9.G2	1380
Seq636_p22.C1	1380
Seq638_p23.D2	1380
Seq63_p7.D12	1380
Seq643_p22.E7	1380
Seq650_p7.G3	1380
Seq655_p9.C12	1380
Seq665_p21.A12	1380
Seq666_p24.D8	1380
Seq673_p12.F1	1380
Seq684_p27.B2	1380
Seq686_p9.D3	1380
Seq688_p25.H12	1380
Seq698_p7.G2	1380
Seq69_p5.H2	1380
Seq703_p9.G12	1380
Seq708_p25.E12	1380
Seq714_p3.G3	1380
Seq731_p6.A7	1380
Seq736_p21.B12	1380
Seq73_p24.H8	1380
Seq740_p23.A8	1380
Seq742_p26.A9	1380
Seq747_p27.F2	1380
Seq755_p6.H1	1380
Seq758_p9.E6	1380
Seq767_p20.B8	1380
Seq768_p8.E4	1380
Seq76_p25.D12	1380
Seq774_p2.D1	1380
Seq775_p2.B1	1380
Seq87_p13.E4	1380
Seq91_p3.F1	1380
Seq92_p9.C3	1380
Seq391_p20.C1	1398
Seq610_p26.C10	1530
Seq661_p23.A4	1530
Seq100_p25.C2	1800
Seq101_p27.B6	1800
Seq102_p3.D8	1800
Seq104_p5.C9	1800
Seq105_p23.H5	1800
Seq108_p21.A2	1800
Seq109_p26.F3	1800
Seq10_p12.E5	1800
Seq110_p25.C1	1800
Seq111_p5.F9	1800
Seq113_p26.C2	1800
Seq114_p7.B8	1800
Seq115_p6.H9	1800
Seq116_p11.C1	1800
Seq117_p2.B2	1800
Seq118_p3.F11	1800
Seq120_p20.E7	1800
Seq121_p9.B6	1800
Seq122_p3.E6	1800
Seq123_p23.B9	1800
Seq124_p12.G3	1800
Seq126_p6.C11	1800
Seq127_p3.A7	1800
Seq12_p8.E9	1800
Seq130_p12.G2	1800
Seq132_p2.B7	1800
Seq133_p11.D2	1800
Seq137_p26.G3	1800
Seq139_p13.A3	1800
Seq140_p3.B5	1800
Seq144_p13.D8	1800
Seq145_p26.D8	1800
Seq146_p5.A4	1800
Seq147_p24.C4	1800
Seq149_p7.D8	1800
Seq150_p27.C6	1800
Seq151_p26.G2	1800
Seq155_p21.F2	1800
Seq156_p23.B8	1800
Seq158_p12.D5	1800
Seq15_p5.H7	1800
Seq160_p21.A1	1800
Seq161_p5.B8	1800
Seq163_p7.C9	1800
Seq164_p2.C2	1800
Seq165_p23.H1	1800
Seq166_p21.G4	1800
Seq167_p3.D10	1800
Seq168_p11.B2	1800
Seq169_p12.B7	1800
Seq170_p26.G8	1800
Seq171_p25.G10	1800
Seq173_p1.A7	1800
Seq174_p13.G2	1800
Seq175_p12.E1	1800
Seq177_p1.G9	1800
Seq178_p13.F9	1800
Seq179_p20.F1	1800
Seq180_p22.B4	1800
Seq181_p5.C8	1800
Seq182_p27.A7	1800
Seq183_p21.G1	1800
Seq184_p25.H5	1800
Seq186_p7.H1	1800
Seq187_p7.F5	1800
Seq188_p1.G7	1800
Seq191_p7.C3	1800
Seq192_p22.A2	1800
Seq193_p5.G6	1800
Seq195_p5.A3	1800
Seq196_p20.A7	1800
Seq197_p26.D3	1800
Seq198_p25.E4	1800
Seq19_p9.E8	1800
Seq1_p1.G6	1800
Seq200_p26.D6	1800
Seq201_p9.B12	1800
Seq202_p27.E6	1800
Seq203_p6.C8	1800
Seq204_p25.C10	1800
Seq205_p1.H2	1800
Seq206_p21.E10	1800
Seq207_p1.F12	1800
Seq208_p26.F2	1800
Seq209_p23.F1	1800
Seq20_p5.D5	1800
Seq210_p27.A6	1800
Seq212_p25.F10	1800
Seq214_p4.C3	1800
Seq215_p21.D1	1800
Seq216_p6.C7	1800
Seq219_p1.B5	1800
Seq220_p9.C10	1800
Seq221_p9.D12	1800
Seq223_p9.D5	1800
Seq224_p7.B5	1800
Seq226_p21.E4	1800
Seq227_p21.H1	1800
Seq228_p20.G1	1800
Seq229_p8.B3	1800
Seq22_p13.C5	1800
Seq230_p13.C3	1800
Seq232_p12.D2	1800
Seq233_p20.C7	1800
Seq234_p5.B7	1800
Seq235_p2.C10	1800
Seq236_p4.A9	1800
Seq237_p13.C9	1800
Seq240_p4.A10	1800
Seq241_p26.E10	1800
Seq242_p23.B1	1800
Seq243_p12.B8	1800
Seq244_p21.C10	1800
Seq245_p1.D12	1800
Seq247_p21.H4	1800
Seq248_p22.A3	1800
Seq249_p1.F9	1800
Seq24_p1.C4	1800
Seq250_p9.A8	1800
Seq252_p9.A5	1800
Seq253_p3.G7	1800
Seq254_p9.G8	1800
Seq255_p27.G6	1800
Seq257_p24.E7	1800
Seq259_p4.B3	1800
Seq25_p23.H9	1800
Seq261_p12.G8	1800
Seq262_p1.C6	1800
Seq263_p9.F1	1800
Seq264_p26.E3	1800
Seq265_p26.F10	1800
Seq267_p6.C9	1800
Seq268_p4.B9	1800
Seq269_p23.D9	1800
Seq270_p13.A8	1800
Seq271_p13.B6	1800
Seq272_p12.A7	1800
Seq274_p23.G5	1800
Seq275_p24.D1	1800
Seq276_p7.C5	1800
Seq277_p3.B8	1800
Seq278_p21.F1	1800
Seq27_p7.G4	1800
Seq280_p20.H7	1800
Seq282_p7.H7	1800
Seq284_p12.C7	1800
Seq285_p13.B7	1800
Seq286_p23.C9	1800
Seq287_p21.E2	1800
Seq289_p6.C6	1800
Seq290_p23.G1	1800
Seq292_p21.F10	1800
Seq293_p5.C10	1800
Seq295_p11.B1	1800
Seq296_p7.A8	1800
Seq29_p5.F5	1800
Seq2_p5.E6	1800
Seq300_p9.E5	1800
Seq301_p5.A7	1800
Seq304_p2.A9	1800
Seq308_p9.C5	1800
Seq309_p23.E9	1800
Seq30_p9.C7	1800
Seq310_p7.E12	1800
Seq311_p3.G2	1800
Seq312_p13.B3	1800
Seq313_p7.D6	1800
Seq315_p11.A2	1800
Seq316_p21.A10	1800
Seq317_p27.A1	1800
Seq318_p9.F9	1800
Seq31_p13.B8	1800
Seq321_p20.B1	1800
Seq322_p1.D9	1800
Seq323_p27.B7	1800
Seq326_p27.E2	1800
Seq327_p21.E1	1800
Seq329_p5.D7	1800
Seq331_p27.F4	1800
Seq334_p5.H9	1800
Seq335_p21.G2	1800
Seq337_p12.H1	1800
Seq338_p8.B5	1800
Seq339_p3.B6	1800
Seq33_p11.B9	1800
Seq340_p13.D6	1800
Seq341_p13.D7	1800
Seq342_p3.C4	1800
Seq345_p13.F8	1800
Seq348_p20.D4	1800
Seq349_p4.B8	1800
Seq34_p26.H7	1800
Seq350_p24.A7	1800
Seq352_p25.A2	1800
Seq356_p12.C6	1800
Seq357_p11.C10	1800
Seq358_p8.C8	1800
Seq360_p11.B6	1800
Seq361_p7.D4	1800
Seq363_p20.E1	1800
Seq365_p1.C9	1800
Seq367_p23.C5	1800
Seq368_p13.F6	1800
Seq369_p3.C11	1800
Seq36_p8.D2	1800
Seq370_p26.G6	1800
Seq372_p24.B1	1800
Seq373_p2.F8	1800
Seq375_p25.H10	1800
Seq376_p5.D12	1800
Seq377_p5.D9	1800
Seq378_p26.B2	1800
Seq379_p25.E1	1800
Seq37_p27.B4	1800
Seq380_p8.B9	1800
Seq383_p12.D8	1800
Seq384_p21.B5	1800
Seq385_p22.D4	1800
Seq387_p1.H11	1800
Seq388_p9.C11	1800
Seq389_p7.E10	1800
Seq38_p4.E9	1800
Seq390_p9.B4	1800
Seq392_p9.A6	1800
Seq393_p6.D2	1800
Seq395_p9.D7	1800
Seq396_p7.A4	1800
Seq397_p25.H4	1800
Seq398_p5.C5	1800
Seq399_p11.G8	1800
