Sample	Length
Seq1000_p5.G7	2280
Seq1002_p7.C2	2280
Seq1004_p12.G2	2280
Seq1006_p13.C2	2280
Seq100_p26.D3	2280
Seq1010_p1.C2	2280
Seq1012_p21.A2	2280
Seq1018_p22.E3	2280
Seq102_p27.C6	2280
Seq1030_p22.A8	2280
Seq1031_p9.C6	2280
Seq1033_p11.G7	2280
Seq1041_p26.A7	2280
Seq1042_p22.C1	2280
Seq1043_p12.B9	2280
Seq1044_p13.H12	2280
Seq104_p25.C3	2280
Seq1051_p12.D5	2280
Seq1052_p26.F5	2280
Seq1055_p7.F9	2280
Seq1057_p27.G6	2280
Seq1059_p3.C3	2280
Seq105_p2.E8	2280
Seq1061_p22.A7	2280
Seq1065_p9.C2	2280
Seq1067_p1.C7	2280
Seq1069_p26.B7	2280
Seq1070_p9.E6	2280
Seq1072_p23.B1	2280
Seq1079_p26.H4	2280
Seq1081_p7.G11	2280
Seq108_p26.B3	2280
Seq1095_p13.G1	2280
Seq1097_p26.H7	2280
Seq1098_p26.B10	2280
Seq1099_p7.H10	2280
Seq1101_p8.G3	2280
Seq1103_p22.F5	2280
Seq1106_p7.H1	2280
Seq1112_p11.E8	2280
Seq1113_p8.D6	2280
Seq1116_p13.D7	2280
Seq1117_p21.E2	2280
Seq1118_p3.C6	2280
Seq1119_p5.D2	2280
Seq1127_p27.D6	2280
Seq1129_p22.G5	2280
Seq112_p12.H6	2280
Seq1130_p5.C6	2280
Seq113_p2.A10	2280
Seq1141_p23.C1	2280
Seq1142_p24.D4	2280
Seq1146_p6.E4	2280
Seq114_p22.G4	2280
Seq1153_p25.D3	2280
Seq1157_p25.D12	2280
Seq1158_p21.G3	2280
Seq1162_p21.D4	2280
Seq1165_p2.F8	2280
Seq1169_p26.H3	2280
Seq1170_p7.C6	2280
Seq1172_p5.E10	2280
Seq1177_p20.H2	2280
Seq117_p26.A5	2280
Seq1189_p5.D6	2280
Seq1199_p25.F4	2280
Seq119_p12.D6	2280
Seq11_p5.G11	2280
Seq1201_p5.D5	2280
Seq1202_p11.A8	2280
Seq1206_p24.H4	2280
Seq1207_p21.F1	2280
Seq1208_p26.D5	2280
Seq1209_p9.H6	2280
Seq1212_p11.E10	2280
Seq1216_p3.G2	2280
Seq1217_p2.D9	2280
Seq1227_p6.D6	2280
Seq122_p8.D9	2280
Seq1230_p25.A4	2280
Seq1231_p1.D12	2280
Seq1232_p26.G8	2280
Seq1233_p6.B6	2280
Seq123_p25.H2	2280
Seq1240_p13.D10	2280
Seq1252_p24.E7	2280
Seq1253_p6.D7	2280
Seq1260_p12.G3	2280
Seq1264_p6.C6	2280
Seq1265_p8.F1	2280
Seq1268_p22.C7	2280
Seq1270_p26.A8	2280
Seq1281_p5.D7	2280
Seq1282_p20.E7	2280
Seq1287_p21.F12	2280
Seq1289_p11.C11	2280
Seq128_p11.D8	2280
Seq1293_p2.D3	2280
Seq1294_p13.F3	2280
Seq1295_p20.D4	2280
Seq1297_p5.G2	2280
Seq1299_p2.C7	2280
Seq129_p20.E2	2280
Seq1302_p8.E6	2280
Seq1309_p6.B11	2280
Seq1312_p5.H8	2280
Seq1314_p7.D5	2280
Seq1319_p11.B6	2280
Seq1323_p6.B2	2280
Seq1327_p21.A3	2280
Seq1331_p7.B4	2280
Seq1335_p9.D2	2280
Seq1336_p1.F5	2280
Seq1337_p6.F2	2280
Seq1338_p1.D7	2280
Seq133_p12.D1	2280
Seq1340_p26.C4	2280
Seq1342_p13.D6	2280
Seq1344_p2.B7	2280
Seq1346_p25.H4	2280
Seq1347_p12.H1	2280
Seq1348_p5.C7	2280
Seq1350_p2.G3	2280
Seq1353_p26.G5	2280
Seq1359_p25.G3	2280
Seq1373_p20.A4	2280
Seq1374_p26.E3	2280
Seq1376_p22.F4	2280
Seq1379_p8.B5	2280
Seq13_p12.A5	2280
Seq146_p22.A5	2280
Seq153_p20.B2	2280
Seq157_p1.C12	2280
Seq159_p26.F3	2280
Seq15_p11.E7	2280
Seq165_p1.H2	2280
Seq166_p13.G7	2280
Seq171_p25.C8	2280
Seq173_p7.D2	2280
Seq176_p21.G4	2280
Seq180_p11.G9	2280
Seq190_p7.D3	2280
Seq193_p4.E5	2280
Seq194_p5.H6	2280
Seq196_p24.G4	2280
Seq198_p5.G3	2280
Seq1_p24.G2	2280
Seq200_p9.C7	2280
Seq207_p6.H10	2280
Seq208_p9.H3	2280
Seq209_p23.B2	2280
Seq210_p7.E8	2280
Seq211_p26.B5	2280
Seq213_p12.H5	2280
Seq217_p22.H5	2280
Seq218_p13.D2	2280
Seq219_p26.H9	2280
Seq226_p4.A10	2280
Seq227_p21.C4	2280
Seq228_p25.E12	2280
Seq229_p8.H7	2280
Seq231_p4.B7	2280
Seq233_p22.B5	2280
Seq234_p7.D7	2280
Seq236_p13.D1	2280
Seq239_p5.B5	2280
