Clean_Sample	Sample	Length
p1.D1	Seq844_p1.D1	526
p22.B1	Seq1306_p22.B1	526
p3.H5	Seq259_p3.H5	526
p1.E4	Seq664_p1.E4	526
p20.E3	Seq1317_p20.E3	526
p24.E10	Seq1377_p24.E10	526
p22.D1	Seq1151_p22.D1	526
p6.F5	Seq433_p6.F5	526
p24.G11	Seq800_p24.G11	526
p20.H9	Seq316_p20.H9	526
p24.F3	Seq1167_p24.F3	526
p22.F1	Seq1324_p22.F1	526
p9.F3	Seq1144_p9.F3	526
p3.F10	Seq710_p3.F10	526
p24.H3	Seq254_p24.H3	526
p7.G5	Seq1242_p7.G5	526
p13.E11	Seq715_p13.E11	526
p2.E2	Seq1284_p2.E2	526
p24.F2	Seq456_p24.F2	526
p24.B3	Seq855_p24.B3	526
p24.F9	Seq662_p24.F9	526
p9.E10	Seq520_p9.E10	526
p5.F10	Seq1050_p5.F10	526
p11.D1	Seq946_p11.D1	526
p11.A11	Seq914_p11.A11	526
p24.B11	Seq1023_p24.B11	526
p4.F5	Seq186_p4.F5	526
p7.H5	Seq727_p7.H5	526
p9.F10	Seq440_p9.F10	526
p20.D10	Seq1032_p20.D10	526
p1.F4	Seq1125_p1.F4	526
p9.E2	Seq786_p9.E2	526
p24.E11	Seq411_p24.E11	526
p1.D5	Seq1380_p1.D5	526
p9.D1	Seq1288_p9.D1	526
p1.E3	Seq1213_p1.E3	526
p26.D1	Seq1071_p26.D1	526
p12.E11	Seq134_p12.E11	526
p20.H3	Seq849_p20.H3	526
p5.C1	Seq72_p5.C1	526
p5.F4	Seq945_p5.F4	526
p12.F10	Seq721_p12.F10	526
p22.H1	Seq369_p22.H1	526
p8.F3	Seq1073_p8.F3	526
p1.F3	Seq350_p1.F3	526
p1.G11	Seq877_p1.G11	526
p3.H1	Seq1370_p3.H1	526
p5.E3	Seq571_p5.E3	526
p24.E3	Seq151_p24.E3	526
p5.G5	Seq326_p5.G5	526
p9.C1	Seq1303_p9.C1	526
p4.C1	Seq1173_p4.C1	526
p22.E1	Seq494_p22.E1	526
p20.D3	Seq908_p20.D3	526
p2.D2	Seq1176_p2.D2	526
p6.F4	Seq732_p6.F4	526
p4.F4	Seq669_p4.F4	526
p20.B3	Seq906_p20.B3	526
p24.C11	Seq248_p24.C11	526
p12.E10	Seq182_p12.E10	526
p26.B1	Seq169_p26.B1	526
p24.A11	Seq707_p24.A11	526
p12.F11	Seq474_p12.F11	526
p5.G1	Seq22_p5.G1	526
p22.B3	Seq1291_p22.B3	526
p6.F10	Seq158_p6.F10	526
p3.G1	Seq878_p3.G1	526
p26.G1	Seq367_p26.G1	526
p24.H11	Seq132_p24.H11	526
p13.F11	Seq223_p13.F11	526
p20.B11	Seq477_p20.B11	526
p2.F5	Seq448_p2.F5	526
p20.C3	Seq979_p20.C3	526
p7.E3	Seq168_p7.E3	526
p11.F6	Seq921_p11.F6	526
p8.F10	Seq762_p8.F10	526
p12.F2	Seq614_p12.F2	526
p24.C3	Seq1196_p24.C3	526
p9.F11	Seq742_p9.F11	526
p20.D11	Seq638_p20.D11	526
p24.B10	Seq1249_p24.B10	526
p5.F3	Seq959_p5.F3	526
p20.G11	Seq77_p20.G11	526
p2.E1	Seq1328_p2.E1	526
p7.C12	Seq618_p7.C12	526
p9.F2	Seq285_p9.F2	526
p6.E1	Seq1315_p6.E1	526
p5.E4	Seq238_p5.E4	526
p24.A3	Seq511_p24.A3	526
p9.E11	Seq1035_p9.E11	526
p7.F10	Seq1036_p7.F10	526
p20.F9	Seq1226_p20.F9	526
p20.A3	Seq26_p20.A3	526
p2.F11	Seq611_p2.F11	526
p8.E1	Seq160_p8.E1	526
p12.C1	Seq437_p12.C1	526
p26.H1	Seq189_p26.H1	526
p9.B9	Seq257_p9.B9	526
p2.F4	Seq401_p2.F4	526
p13.F2	Seq554_p13.F2	526
p1.G1	Seq780_p1.G1	526
p9.E3	Seq221_p9.E3	526
p1.G5	Seq1256_p1.G5	526
p20.F3	Seq913_p20.F3	526
p22.A1	Seq295_p22.A1	526
p1.H1	Seq731_p1.H1	526
p26.F1	Seq1234_p26.F1	526
p26.C1	Seq103_p26.C1	526
p5.H1	Seq267_p5.H1	526
p9.G5	Seq1369_p9.G5	526
p5.H5	Seq1046_p5.H5	526
p4.F12	Seq1185_p4.F12	526
p2.F10	Seq911_p2.F10	526
p20.E11	Seq1022_p20.E11	526
p24.H10	Seq1267_p24.H10	526
p20.C10	Seq339_p20.C10	526
p3.D1	Seq1248_p3.D1	526
